 ,VERDURAS E LEGUMES,,,,
,Produto,UND,MAX,MAIS FREQUENTE,MÍNIMO
,TANGERINA IMPORTADA,KG,"R$ 9,00","R$ 9,00","R$ 9,00"
,TANGERINA MONTENEGRINA,KG,,,
,TANGERINA MURCOTT,KG,,,
,TANGERINA OUTRAS,KG,"R$ 2,22","R$1,67","R$ 1,11"
,TANGERINA PONKAN,KG,"R$ 2,22","R$1,66","R$ 1,38"
,UVA COMUM DE MESA,KG,"R$ 11,42","R$10,00","R$5,71"
,UVA FINAS DE MESA,KG,"R$ 18,57","R$ 14,28","R$ 10,71"
,UVA IMPORTADA,KG,"R$ 16,25","R$15,00","R$ 8,75"
,CENTRAL DAS FLORES,,,,
,Produto,UND,MAX,MAIS FREQUENTE,MÍNIMO
,ANTURIO VASO,UND,"R$ 49,00","R$ 45,00","R$ 39,00"
,ASTER,MOL,"R$ 39,00","R$35,00","R$ 30,00"
,ASTROMELIA,MOL,"R$ 49,00","R$39,00","R$ 39,00"
,AZALEIA VASO,UND,"R$ 30,00","R$20,00","R$ 8,90"
,BEGONIA,UND,"R$ 45,00","R$35,00","R$ 35,00"
,BICO DE PAPAGAIO,MOL,"R$ 45,00","R$35,00","R$ 35,00"
,BOCA DE LEAO,MOL,"R$ 59,00","R$39,00","R$ 39,00"
,BONSAI,UND,"R$ 45,00","R$39,00","R$ 35,00"
,CACTUS,UND,"R$ 110,00","R$ 45,00","R$ 3,27"
,CACTUS MINI 15UN,CX,"R$ 55,00","R$49,00","R$ 45,00"
,COPO DE LEITE,MOL,"R$ 149,00","R$45,00","R$ 45,00"
,CRAVINA,MOL,"R$ 55,00","R$49,00","R$ 39,00"
,CRAVO,MOL,"R$ 98,00","R$79,00","R$ 70,00"
,CRISANTEMO,MOL,"R$ 69,00","R$69,00","R$ 65,00"
,CRISANTEMO VASO,UND,"R$ 25,00","R$24,00","R$ 20,00"
,ESTATICE,MOL,"R$ 38,00","R$38,00","R$ 29,00"
,FOLHAGENS VARIADAS,UND,"R$ 80,00","R$45,00","R$ 30,00"
,GERBERA 12UN,MOL,"R$ 55,00","R$45,00","R$ 45,00"
,GIRASSOL 6UN,MOL,"R$ 45,00","R$39,00","R$ 39,00"
,GIRASSOL VASO,UND,"R$ 49,00","R$45,00","R$ 39,00"
,GLADIOLO MOLHE,MOL,"R$ 59,00","R$42,00","R$ 42,00"
,GLADIOLO VASO,UND,"R$ 15,00","R$15,00","R$ 15,00"
,GLOXINIA VASO,UND,"R$ 25,00","R$15,00","R$ 10,00"
,KALANCHOE,UND,"R$ 8,90","R$7,90","R$ 7,50"
,KALANCHOE MINI15UN,CX,"R$ 59,00","R$55,00","R$ 45,00"
,KALANDIVA VASO,UND,"R$ 12,00","R$8,90","R$ 8,90"
,LIRIO DA PAZ,UND,"R$ 39,00","R$20,00","R$ 20,00"
,LIRIO MOLHE,MOL,"R$ 130,00","R$99,00","R$ 79,00"
,LISIANTHUS,MOL,"R$ 95,00","R$79,00","R$ 59,00"
,MOSQUITINHO,MOL,"R$ 49,00","R$45,00","R$ 39,00"
,ORQUIDEA VASO,UND,"R$ 99,00","R$65,00","R$ 60,00"
,PRIMULA 15UN,CX,"R$ 45,00","R$15,00","R$ 15,00"
,ROSA COLORIDA 20UN,MOL,"R$ 120,00","R$98,00","R$ 89,00"
,ROSA IMPORTADA,MOL,"R$ 199,00","R$ 199,00","R$ 199,00"
,ROSA VERMELHA 20UN,MOL,"R$ 120,00","R$98,00","R$ 95,00"
,SAMAMBAIA CUIA,UND,"R$ 35,00","R$35,00","R$ 30,00"
,SUCULENTAS,UND,"R$ 8,00","R$8,00","R$ 3,27"
,SUCULENTAS MINI 15UN,CX,"R$ 49,00","R$45,00","R$ 40,00"
,TANGO,MOL,"R$ 25,00","R$25,00","R$ 25,00"
,THUIA CIPRESTE VASO,UND,"R$ 65,00","R$25,00","R$ 25,00"
,TULIPA,UND,"R$ 39,00","R$20,00","R$ 20,00"
,VERDES (SAMAMBAIA PRETA),MOL,"R$ 20,00","R$20,00","R$ 20,00"
,VERDES ASPARGO,MOL,"R$ 29,00","R$28,00","R$ 25,00"
,VERDES ASPARGO IMP,MOL,,,
,VERDES EUCALIPTUS,MOL,"R$ 39,00","R$38,00","R$ 35,00"
,VERDES RUSCUS,MOL,"R$ 25,00","R$20,00","R$ 20,00"
,VIOLETA,UND,"R$10,00","R$8,90","R$ 7,00"
,VIOLETA MINI 15UN,CX,"R$ 60,00","R$45,00","R$45,00"
,ZAMIOCULCA,UND,"R$ 45,00","R$39,00","R$ 39,00"
,CARNES,,,,
,Produto,UND,MAX,MAIS FREQUENTE,MÍNIMO
,ACÉM,KG,"R$ 31,95","R$31,00","R$ 31,00"
,ALCATRA,KG,"R$ 47,95","R$49,90","R$ 47,95"
,COSTELA BOVINA,KG,"R$ 28,50","R$27,95","R$ 27,95"
,COSTELA OVINA,KG,"R$ 37,90","R$37,90","R$ 37,90"
,COSTELA SUÍNA,KG,"R$ 23,99","R$22,90","R$ 22,90"
,COXA SOBRECOXA DE FRANGO,KG,"R$ 8,49","R$7,99","R$ 7,99"
,COXÃO MOLE,KG,"R$ 45,95","R$40,90","R$ 40,90"
,ENTRECOT,KG,"R$ 59,90","R$48,99","R$ 48,99"
,FILÉ DE FRANGO,KG,"R$ 14,99","R$13,98","R$ 13,98"
,FILÉ DE SASSAMI DE FRANGO,KG,"R$ 18,98","R$16,49","R$16,49"
,FILÉ MIGNON,KG,"R$ 89,98","R$79,98","R$ 79,98"
,LINGUIÇA TOSCANA,KG,"R$ 19,97","R$16,90","R$ 16,90"
,PALETA BOVINA,KG,"R$ 36,98","R$34,90","R$ 34,90"
,PALETA OVINA,KG,"R$ 68,90","R$68,90","R$ 68,90"
,PALETA SUÍNA,KG,"R$ 19,95","R$ 17,95","R$ 17,95"
,PATINHO,KG,"R$ 39,98","R$38,90","R$ 38,90"
,PERNIL OVINO,KG,"R$ 68,90","R$68,90","R$ 68,90"
,PERNIL SUÍNO,KG,"R$ 22,98","R$ 17,90","R$ 17,90"
,VAZIO,KG,"R$ 39,98","R$39,98","R$ 37,98"
,PESCADOS E FRUTOS DO MAR,,,,
,Produto,UND,MAX,MAIS FREQUENTE,MÍNIMO
,CAMARÃO CARABINEIRO INTEIRO,KG,"R$ 302,30","R$260,00","R$ 260,00"
,CAMARÃO CINZA (VANNAMEI) INTEIRO ,KG,"R$ 123,01","R$49,90","R$ 49,90"
,CAMARÃO CINZA (VANNAMEI) SEM CABEÇA ,KG,"R$ 101,41","R$72,90","R$ 72,90"
,CAMARÃO CINZA(VANNAMEI) DES. EVISC. C/ CAUDA,KG,"R$ 101,41","R$ 93,90","R$ 93,90"
,CAMARÃO ROSA DESC. EVISC.,KG,"R$ 248,30","R$ 199,90","R$ 199,90"
,CAMARÃO 7 BARBAS,KG,"R$ 43,10","R$ 43,10","R$ 43,10"
,CORVINA INTEIRA,KG,"R$ 13,93","R$ 13,93","R$ 13,93"
,FILÉ DE ANJO,KG,"R$ 36,61","R$ 36,61","R$ 36,61"
,FILÉ DE CAÇÃO,KG,"R$ 36,61","R$ 36,61","R$ 36,61"
,FILÉ DE CAMBUCU,KG,"R$ 64,70","R$ 64,70","R$ 64,70"
,FILÉ DE CONGRO ROSA,KG,"R$ 89,53","R$ 78,90","R$ 78,90"
,FILÉ DE DOURADO,KG,"R$ 74,90","R$ 74,90","R$ 53,89"
,FILÉ DE LINGUADO,KG,"R$ 69,90","R$ 69,90","R$ 48,49"
,FILÉ DE MERLUZA,KG,"R$ 45,14","R$ 45,14","R$ 45,14"
,FILÉ DE PANGA,KG,"R$ 26,90","R$ 26,90","R$ 26,90"
,FILÉ DE PESCADA AMARELA,KG,"R$ 99,00","R$ 99,00","R$ 88,45"
,FILÉ DE POLACA,KG,"R$ 36,50","R$ 36,50","R$ 36,50"
,FILÉ DE SALMÃO COM PELE,KG,"R$ 84,90","R$ 84,90","R$ 79,90"
,FILÉ DE SALMÃO COM PELE EM PEDAÇOS,KG,"R$ 112,10","R$ 92,00","R$ 92,00"
,FILÉ DE SALMÃO SEM PELE,KG,"R$ 99,00","R$ 99,00","R$ 99,00"
,FILÉ DE SALMÃO SEM PELE EM PEDAÇOS,KG,"R$ 71,17","R$ 71,17","R$ 71,17"
,FILÉ DE TILÁPIA,KG,"R$ 49,57","R$ 45,90","R$ 45,90"
,FILÉ DE TRAÍRA,KG,"R$ 40,36","R$ 40,36","R$ 40,36"
,LAGOSTA INTEIRA,KG,"R$ 197,53","R$ 149,90","R$ 149,90"
,LOMBO DE BACALHAU DESSALGADO,KG,"R$ 169,90","R$ 169,90","R$ 97,10"
,POLVO EVISCERADO PERUANO,KG,"R$ 122,50","R$ 122,50","R$ 64,70"
,POLVO INTEIRO,KG,"R$ 114,90","R$ 114,90","R$ 97,10"
,TAINHA EVISCERADA,KG,"R$ 15,01","R$ 15,01","R$ 15,01"
,TRAÍRA EVISCERADA,KG,"R$ 21,49","R$21,49","R$ 21,49"
,DIVERSOS,,,,
,Produto,UND,MAX,MAIS FREQUENTE,MÍNIMO
,AMENDOIM COM CASCA,KG,"R$ 11,00","R$10,00","R$ 9,00"
,AMENDOIM SEM CASCA,KG,"R$ 11,00","R$10,00","R$ 8,00"
,FEIJAO,KG,"R$ 6,00","R$6,00","R$6,00"
,LENTILHA,KG,"R$ 20,00","R$15,00","R$ 15,00"
,MEL,KG,"R$ 30,00","R$25,00","R$ 25,00"
,MILHO PIPOCA,KG,"R$ 10,00","R$5,20","R$ 5,20"
,MILHO RACAO,KG,"R$ 1,60","R$1,60","R$ 1,52"
,OVO BRANCO CX30DZ,CX,"R$ 190,00","R$180,00","R$180,00"
,OVO CAIPIRA CX30DZ,CX,"R$ 350,00","R$320,00","R$ 300,00"
,OVO CODORNA CXT,CXT,"R$ 7,50","R$7,00","R$ 6,50"
,OVO VERMELHO CX30DZ,CX,"R$ 210,00","R$210,00","R$ 200,00"
,PINHAO,KG,"R$ 13,00","R$11,00","R$ 10,00"
