UF,Municipio,Mes/Ano de Referencia,Nome do Produto,Categoria,Preco Atual (R$),Preco Referencia Baseline (R$),Status do Semafaro (Cor),Previsao IA (Tendencia Futura),Usa Dado Fallback?,Usa Dado Interpolado?
SP,,2026-06,Tâmara Seca Importada,FRUTAS,26.5000,26.5000,AMARELO,,Nao,Nao
SP,,2026-07,Tâmara Seca Importada,FRUTAS,30.3150,30.3150,AMARELO,,Nao,Nao
SP,,2026-06,Tambaqui,PESCADOS,14.5000,14.5000,AMARELO,,Nao,Nao
SP,,2026-06,Tangerina Cravo,FRUTAS,2.1467,2.1467,AMARELO,,Nao,Nao
SP,,2026-07,Tangerina Cravo,FRUTAS,2.2000,2.2000,AMARELO,,Nao,Nao
SP,,2026-07,Tangerina Decopom,FRUTAS,8.1633,8.1633,AMARELO,,Nao,Nao
SP,,2026-06,Tangerina Decopom,FRUTAS,8.2867,8.2867,AMARELO,,Nao,Nao
SP,,2026-07,Tangerina Importada,FRUTAS,6.5000,6.5000,AMARELO,,Nao,Nao
SP,,2026-06,Tangerina Importada,FRUTAS,5.5000,5.5000,AMARELO,,Nao,Nao
SP,,2026-07,Tangerina Murcote,FRUTAS,2.8833,2.8833,AMARELO,,Nao,Nao
SP,,2026-06,Tangerina Murcote,FRUTAS,2.2533,2.2533,AMARELO,,Nao,Nao
SP,,2026-07,Tangerina Ole,FRUTAS,2.0600,2.0600,AMARELO,,Nao,Nao
SP,,2026-06,Tangerina Ole,FRUTAS,2.6933,2.6933,AMARELO,,Nao,Nao
SP,,2026-06,Tangerina Poncã,FRUTAS,1.8500,1.8500,AMARELO,,Nao,Nao
SP,,2026-07,Tangerina Poncã,FRUTAS,1.9567,1.9567,AMARELO,,Nao,Nao
SP,,2026-06,Tilapia,PESCADOS,12.3600,12.3600,AMARELO,,Nao,Nao
SP,,2026-07,Tilapia,PESCADOS,12.5600,12.5600,AMARELO,,Nao,Nao
SP,SÃO PAULO-SP,2026-02,TOMATE - NÃO INFORMADO,LEGUMES,8.5000,9.5856,AMARELO,,Sim,Nao
SP,,2025-06,TOMATE - NÃO INFORMADO,LEGUMES,3.9000,3.4671,AMARELO,,Nao,Nao
SP,,2025-07,TOMATE - NÃO INFORMADO,LEGUMES,3.3300,3.4671,AMARELO,,Nao,Nao
SP,SÃO PAULO-SP,2026-01,TOMATE - NÃO INFORMADO,LEGUMES,9.0500,9.5856,AMARELO,,Sim,Nao
SP,SÃO PAULO-SP,2025-10,TOMATE - NÃO INFORMADO,LEGUMES,9.0900,9.5856,AMARELO,,Sim,Nao
SP,SÃO PAULO-SP,2025-09,TOMATE - NÃO INFORMADO,LEGUMES,8.8800,9.5856,AMARELO,,Sim,Nao
SP,SÃO PAULO-SP,2026-03,TOMATE - NÃO INFORMADO,LEGUMES,10.2500,9.5856,AMARELO,,Sim,Nao
