ID Produto,Categoria,Nome do Produto,UF,Municipio,Mes/Ano Referencia,Preco Atual (R$),Preco Referencia (Baseline - R$),Divergencia Matematica (%),Status do Semafaro (Cor no DB),Previsao IA (Tendencia Futura),Usa Dado Fallback?,Usa Dado Interpolado?
867,HORTIFRUTIGRANJEIROS,MILHO - EM GRÃOS,SC,PALMITOS-SC,2026-02,1.1400,1.1071,2.97,AMARELO,,Nao,Nao
865,PROTEINAS,LEITE DE VACA - IN NATURA,MA,,2025-07,2.2000,2.0514,7.24,AMARELO,,Nao,Nao
866,HORTIFRUTIGRANJEIROS,BANANA - PRATA,PI,GUADALUPE-PI,2025-06,2.1000,2.0671,1.59,AMARELO,,Nao,Nao
786,PROTEINAS,LEITE DE VACA - LONGA VIDA INTEGRAL,AM,MANAUS-AM,2025-08,7.0400,6.6643,5.64,AMARELO,,Nao,Nao
832,ALIMENTO_VAREJO,FLOCOS DE MILHO - PRE-COZIDO,RN,,2025-12,3.0700,3.3057,-7.13,AMARELO,,Nao,Nao
859,PROTEINAS,CARNE BOVINA - PATINHO S/OSSO,AC,,2026-01,37.3000,35.4075,5.34,AMARELO,,Nao,Nao
837,CEREAIS_GRAOS,SOJA - EM GRÃOS,RS,,2025-09,2.0400,2.1129,-3.45,AMARELO,,Nao,Nao
877,HORTIFRUTIGRANJEIROS,TOMATE - ITALIANO,MG,COIMBRA-MG,2025-08,3.8500,3.4371,12.01,AMARELO,,Nao,Nao
808,ALIMENTO_VAREJO,SAL - NÃO INFORMADO,RN,NATAL-RN,2025-07,2.2600,2.2233,1.65,AMARELO,,Nao,Nao
1945,HORTIFRUTIGRANJEIROS,Manga Bourbon,RN,,2026-06,3.2000,3.1000,3.23,AMARELO,,Sim,Nao
787,CEREAIS_GRAOS,ARROZ - LONGO FINO TIPO 1 58,RS,,2025-07,1.3300,1.2300,8.13,AMARELO,,Nao,Nao
752,PROTEINAS,MANTEIGA - NÃO INFORMADO,PB,JOÃO PESSOA-PB,2025-10,67.8200,67.7250,0.14,AMARELO,,Nao,Nao
833,ALIMENTO_VAREJO,MACARRAO - ESPAGUETE SÊMOLA COM,BA,SALVADOR-BA,2025-11,8.0500,8.0971,-0.58,AMARELO,,Nao,Nao
898,PROTEINAS,CARNE CAPRINA - CARCAÇA,PB,,2026-02,27.5000,26.6171,3.32,AMARELO,,Nao,Nao
1030,HORTIFRUTIGRANJEIROS,Berinjela Japonesa,RS,,2026-06,5.0000,5.4500,-8.26,AMARELO,,Sim,Nao
1140,ALIMENTO_VAREJO,Batata Asterix,SP,,2025-10,4.0000,4.0000,0.00,AMARELO,,Nao,Nao
792,ALIMENTO_VAREJO,OLEO DE SOJA - REFINADO,SE,,2026-02,9.1900,9.2229,-0.36,AMARELO,,Nao,Nao
867,HORTIFRUTIGRANJEIROS,MILHO - EM GRÃOS,PE,,2026-04,1.4400,1.5043,-4.27,AMARELO,,Nao,Nao
793,ALIMENTO_VAREJO,MACARRAO - ESPAGUETE SÊMOLA SEM,ES,VITÓRIA-ES,2025-09,5.7500,6.0329,-4.69,AMARELO,,Nao,Nao
786,PROTEINAS,LEITE DE VACA - LONGA VIDA INTEGRAL,TO,,2025-11,6.3000,5.9557,5.78,AMARELO,,Nao,Nao
895,ALIMENTO_VAREJO,"CAFE - ARÁBICA TIPO 6, BEBI",SP,,2025-10,36.6000,35.6557,2.65,AMARELO,,Nao,Nao
786,PROTEINAS,LEITE DE VACA - LONGA VIDA INTEGRAL,MT,CUIABÁ-MT,2025-07,6.1100,5.7371,6.50,AMARELO,,Nao,Nao
768,ALIMENTO_VAREJO,FEIJAO - COMUM CORES TIPO 1,MS,CAMPO GRANDE-MS,2026-01,6.4400,6.9743,-7.66,AMARELO,,Nao,Nao
874,HORTIFRUTIGRANJEIROS,GOIABA - VERMELHA,PI,,2025-09,3.0300,2.7029,12.10,AMARELO,,Nao,Nao
