BRAVONIL                 ;720 G/L CLOROTALONIL;10782;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;32,25
BRAVONIL                 ;NÃO INFORMADO       ;7210;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;34,06
BRAVONIL                 ;NÃO INFORMADO       ;7210;SP        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;28,9
BRAVONIL ULTREX          ;WG 825 G/KG CLOROTAL;10686;RS        ;SUL            ;2025;8;PREÇO PAGO PELO PRODUTOR                                    ;102,75
BRAVONIL ULTREX          ;WG 825 G/KG CLOROTAL;10686;MG        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;119,79
BRAVONIL ULTREX          ;WG 825 G/KG CLOROTAL;10686;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;101,39
BRILHANTE                ;SL 215 + 420 G/L MET;13420;MG        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;24,5
BRILHANTE                ;SL 215 + 420 G/L MET;13420;MG        ;SUDESTE        ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;24,5
BRIO                     ;SC 125 + 125 G/L EPO;10264;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;137,04
BRIO                     ;SC 125 + 125 G/L EPO;10264;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;142,2
BRISA WG                 ;240 G/KG + 600 G/KG ;15193;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;145,0
BULLDOCK                 ;125 SC 125 G/L BETA-;4099;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;80,0
BULLDOCK                 ;125 SC 125 G/L BETA-;4099;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;70,0
BULLDOCK                 ;125 SC 125 G/L BETA-;4099;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;70,0
BURITI                   ;FRUTO               ;11117;AC        ;NORTE          ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,93
BURITI                   ;FRUTO               ;11117;AM        ;NORTE          ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,47
BURITI                   ;FIBRA               ;7558;MA        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;70,0
BURITI                   ;FRUTO               ;11117;PA        ;NORTE          ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,3
BURITI                   ;FRUTO               ;11117;RR        ;NORTE          ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,75
BURITI                   ;FRUTO               ;11117;AC        ;NORTE          ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,93
BURITI                   ;FRUTO               ;11117;AM        ;NORTE          ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,46
BURITI                   ;FIBRA               ;7558;MA        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;75,0
BURITI                   ;FRUTO               ;11117;PA        ;NORTE          ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,2
BURITI                   ;FRUTO               ;11117;RR        ;NORTE          ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,77
BURITI                   ;FRUTO               ;11117;AC        ;NORTE          ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,93
BURITI                   ;FRUTO               ;11117;AM        ;NORTE          ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,44
BURITI                   ;FIBRA               ;7558;MA        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;65,0
BURITI                   ;FRUTO               ;11117;PA        ;NORTE          ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,1
BURITI                   ;FRUTO               ;11117;RR        ;NORTE          ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,66
BURITI                   ;FRUTO               ;11117;AC        ;NORTE          ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,91
BURITI                   ;FRUTO               ;11117;AM        ;NORTE          ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,44
BURITI                   ;FIBRA               ;7558;MA        ;NORDESTE       ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;77,5
BURITI                   ;FRUTO               ;11117;PA        ;NORTE          ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,1
BURITI                   ;FRUTO               ;11117;PI        ;NORDESTE       ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,6
BURITI                   ;FRUTO               ;11117;RR        ;NORTE          ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,63
BURITI                   ;FRUTO               ;11117;AC        ;NORTE          ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,91
BURITI                   ;FRUTO               ;11117;AM        ;NORTE          ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,45
BURITI                   ;FIBRA               ;7558;MA        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;72,5
BURITI                   ;FRUTO               ;11117;PA        ;NORTE          ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,1
BURITI                   ;FRUTO               ;11117;PI        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,34
BURITI                   ;FRUTO               ;11117;RR        ;NORTE          ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,65
BURITI                   ;FRUTO               ;11117;AC        ;NORTE          ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,91
BURITI                   ;FRUTO               ;11117;AM        ;NORTE          ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,54
BURITI                   ;FIBRA               ;7558;MA        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;75,0
BURITI                   ;FRUTO               ;11117;PA        ;NORTE          ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,1
BURITI                   ;FRUTO               ;11117;PI        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,2
BURITI                   ;FRUTO               ;11117;RR        ;NORTE          ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,65
BURITI                   ;FRUTO               ;11117;AC        ;NORTE          ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,85
BURITI                   ;FRUTO               ;11117;AM        ;NORTE          ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,53
BURITI                   ;FIBRA               ;7558;MA        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;85,0
BURITI                   ;FRUTO               ;11117;PA        ;NORTE          ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,13
