TRATOR                   ;120 4X4 NEW HOLLAND ;5176;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;401785,71
TRATOR                   ;75                  ;10522;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;266666,67
TRATOR                   ;80 4X2 NEW HOLLAND T;8035;RS        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;220333,33
TRATOR                   ;75 4X4              ;10042;RS        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;251324,64
TRATOR                   ;75 4X2 JOHN DEERE 56;5096;RS        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;253773,41
TRATOR                   ;55 4X4 YANMAR 1155-4;8518;RS        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;160000,0
TRATOR                   ;105 4X4 MASSEY FERGU;12235;RS        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;420000,0
TRATOR                   ;56 BRASÉLIO         ;12650;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;206680,0
TRATOR                   ;14 MICRO TRATOR TOBA;13240;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;63311,67
TRATOR                   ;75 4X2              ;12121;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;236723,25
TRATOR                   ;75 4X4 JOHN DEERE 54;5152;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;247689,0
TRATOR                   ;75                  ;10522;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;236723,25
TRATOR                   ;55 4X4 YANMAR 1155-4;9674;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;223000,0
TRATOR                   ;90                  ;10523;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;325900,0
TRATOR                   ;135 VALTRA          ;14815;SP        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;448000,0
TRATOR                   ;80 CABINADO 4X4 JOHN;12438;SP        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;390000,0
TRATOR                   ;80 CABINADO 4X4     ;12793;BA        ;NORDESTE       ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;320000,0
TRATOR                   ;75 MASSEY FERGUSON  ;10818;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;190000,0
TRATOR                   ;170 JOHN DEERE      ;15256;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;900000,0
TRATOR                   ;90 JOHN DEERE       ;15255;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;305000,0
TRATOR                   ;125 JOHN DEERE      ;15257;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;600000,0
TRATOR                   ;60 JOHN DEERE       ;15253;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;280000,0
