AMENDOIM                 ;EM CASCA            ;4674;ITABAIANA-SE                                      ;2802908                       ;SE        ;NORDESTE       ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,59
AMENDOIM                 ;EM CASCA            ;4674;JABOTICABAL-SP                                    ;3524303                       ;SP        ;SUDESTE        ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,79
AMENDOIM                 ;EM CASCA            ;4674;TUPÃ-SP                                           ;3555000                       ;SP        ;SUDESTE        ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,7
AMENDOIM                 ;EM CASCA            ;4674;MOGEIRO-PB                                        ;2509404                       ;PB        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,57
AMENDOIM                 ;EM CASCA            ;4674;PARANAVAÍ-PR                                      ;4118402                       ;PR        ;SUL            ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,97
AMENDOIM                 ;DESCASCADO          ;6185;PINHAIS-PR                                        ;4119152                       ;PR        ;SUL            ;2025;10;ATACADO                                                     ;16,4
AMENDOIM                 ;EM CASCA            ;4674;ITABAIANA-SE                                      ;2802908                       ;SE        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,1
AMENDOIM                 ;EM CASCA            ;4674;JABOTICABAL-SP                                    ;3524303                       ;SP        ;SUDESTE        ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,8
AMENDOIM                 ;EM CASCA            ;4674;TUPÃ-SP                                           ;3555000                       ;SP        ;SUDESTE        ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,62
AMENDOIM                 ;EM CASCA            ;4674;MOGEIRO-PB                                        ;2509404                       ;PB        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,4
AMENDOIM                 ;EM CASCA            ;4674;PARANAVAÍ-PR                                      ;4118402                       ;PR        ;SUL            ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,0
AMENDOIM                 ;DESCASCADO          ;6185;PINHAIS-PR                                        ;4119152                       ;PR        ;SUL            ;2025;11;ATACADO                                                     ;14,46
AMENDOIM                 ;EM CASCA            ;4674;ITABAIANA-SE                                      ;2802908                       ;SE        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,52
AMENDOIM                 ;EM CASCA            ;4674;JABOTICABAL-SP                                    ;3524303                       ;SP        ;SUDESTE        ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,6
AMENDOIM                 ;EM CASCA            ;4674;TUPÃ-SP                                           ;3555000                       ;SP        ;SUDESTE        ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,71
AMENDOIM                 ;DESCASCADO          ;6185;PINHAIS-PR                                        ;4119152                       ;PR        ;SUL            ;2025;12;ATACADO                                                     ;14,65
AMENDOIM                 ;EM CASCA            ;4674;ITABAIANA-SE                                      ;2802908                       ;SE        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,63
AMENDOIM                 ;EM CASCA            ;4674;JABOTICABAL-SP                                    ;3524303                       ;SP        ;SUDESTE        ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,71
AMENDOIM                 ;EM CASCA            ;4674;TUPÃ-SP                                           ;3555000                       ;SP        ;SUDESTE        ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,83
AMINOACIDOS              ;NÃO INFORMADO       ;15396;ANGELINA-SC                                       ;4200903                       ;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;100,0
AMINOL                   ;806 806 G/L 2,4-D ÁC;4026;LAGUNA CARAPÃ-MS                                  ;5005251                       ;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;13,0
AMINOL                   ;806 806 G/L 2,4-D ÁC;4026;UBIRATÃ-PR                                        ;4128005                       ;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;21,95
AMINOL                   ;806 806 G/L 2,4-D ÁC;4026;SÃO LUIZ GONZAGA-RS                               ;4318903                       ;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;21,5
AMINOL                   ;806 806 G/L 2,4-D ÁC;4026;LAGUNA CARAPÃ-MS                                  ;5005251                       ;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;13,0
AMINOL                   ;806 806 G/L 2,4-D ÁC;4026;UBIRATÃ-PR                                        ;4128005                       ;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;27,45
AMINOL                   ;806 806 G/L 2,4-D ÁC;4026;SÃO LUIZ GONZAGA-RS                               ;4318903                       ;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;23,5
AMINOL                   ;806 806 G/L 2,4-D ÁC;4026;IVINHEMA-MS                                       ;5004700                       ;MS        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;22,8
AMINOL                   ;806 806 G/L 2,4-D ÁC;4026;SÃO LUIZ GONZAGA-RS                               ;4318903                       ;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;23,5
AMINON                   ;ORGANOMINERAL FOLIAR;12177;LONDRINA-PR                                       ;4113700                       ;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;80,0
AMINON 25                ;ORGANOMINERAL FOLIAR;10991;FLORES DA CUNHA-RS                                ;4308201                       ;RS        ;SUL            ;2025;8;PREÇO PAGO PELO PRODUTOR                                    ;60,0
AMINON 25                ;ORGANOMINERAL FOLIAR;10991;GRANDES RIOS-PR                                   ;4108700                       ;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;80,0
AMINOSAN                 ;9%+ 2% + 1% + 10,5% ;11579;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;33,0
AMINOSAN                 ;9%+ 2% + 1% + 10,5% ;11579;PATROCÍNIO-MG                                     ;3148103                       ;MG        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;64,0
AMINOSAN                 ;9%+ 2% + 1% + 10,5% ;11579;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;12;PREÇO PAGO PELO PRODUTOR                                    ;35,0
AMINOSAN                 ;9%+ 2% + 1% + 10,5% ;11579;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;0,81
AMINOSAN                 ;9%+ 2% + 1% + 10,5% ;11579;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2026;4;PREÇO PAGO PELO PRODUTOR                                    ;36,11
AMIORGAN                 ;1 KG MANGA FERTILIZA;13192;JUAZEIRO-BA                                       ;2918407                       ;BA        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;3,0
AMISTAR                  ;FRASCO MANGA FUNGICI;13191;JUAZEIRO-BA                                       ;2918407                       ;BA        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;520,0
AMISTAR                  ;500 G/KG AZOXISTROBI;3978;SÃO JOSÉ DE UBÁ-RJ                                ;3305133                       ;RJ        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;795,92
AMISTAR TOP              ;SC 200 + 125 G/L AZO;11023;TAQUARITUBA-SP                                    ;3553807                       ;SP        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;223,81
AMISTAR TOP              ;SC 200 + 125 G/L AZO;11023;BENTO GONÇALVES-RS                                ;4302105                       ;RS        ;SUL            ;2025;8;PREÇO PAGO PELO PRODUTOR                                    ;262,0
AMISTAR TOP              ;NÃO INFORMADO       ;11022;DOIS VIZINHOS-PR                                  ;4107207                       ;PR        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;248,0
AMISTAR TOP              ;SC 200 + 125 G/L AZO;11023;SOMBRIO-SC                                        ;4217709                       ;SC        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;236,88
