MUDA DE CAJU             ;CAJUEIRO ANÃO       ;12662;PALHANO-CE                                        ;2310001                       ;CE        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;4,0
OLEO DIESEL              ;NÃO INFORMADO       ;4422;FLORESTA DO ARAGUAIA-PA                           ;1503044                       ;PA        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;7,99
OLEO DIESEL              ;NÃO INFORMADO       ;4422;MEDICILÂNDIA-PA                                   ;1504455                       ;PA        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;7,79
OLEO DIESEL              ;NÃO INFORMADO       ;4422;ÓBIDOS-PA                                         ;1505106                       ;PA        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;8,29
OLEO DIESEL              ;NÃO INFORMADO       ;4422;SANTA RITA-PB                                     ;2513703                       ;PB        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;6,83
OLEO DIESEL              ;NÃO INFORMADO       ;4422;BELA VISTA DO PIAUÍ-PI                            ;2201556                       ;PI        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;8,15
OLEO DIESEL              ;NÃO INFORMADO       ;4422;URUÇUÍ-PI                                         ;2211209                       ;PI        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;7,9
OLEO DIESEL              ;NÃO INFORMADO       ;4422;CASCAVEL-PR                                       ;4104808                       ;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;7,44
OLEO DIESEL              ;NÃO INFORMADO       ;4422;FRANCISCO BELTRÃO-PR                              ;4108403                       ;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;7,44
OLEO DIESEL              ;NÃO INFORMADO       ;4422;LONDRINA-PR                                       ;4113700                       ;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;7,44
OLEO DIESEL              ;NÃO INFORMADO       ;4422;PONTA GROSSA-PR                                   ;4119905                       ;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;7,44
OLEO DIESEL              ;NÃO INFORMADO       ;4422;PRUDENTÓPOLIS-PR                                  ;4120606                       ;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;7,44
OLEO DIESEL              ;NÃO INFORMADO       ;4422;UMUARAMA-PR                                       ;4128104                       ;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;7,44
OLEO DIESEL              ;NÃO INFORMADO       ;4422;CACHOEIRA DO SUL-RS                               ;4303004                       ;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;6,99
OLEO DIESEL              ;NÃO INFORMADO       ;4422;ILÓPOLIS-RS                                       ;4310306                       ;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;7,21
OLEO DIESEL              ;NÃO INFORMADO       ;4422;PASSO FUNDO-RS                                    ;4314100                       ;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;7,4
OLEO DIESEL              ;NÃO INFORMADO       ;4422;PELOTAS-RS                                        ;4314407                       ;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;7,59
OLEO DIESEL              ;NÃO INFORMADO       ;4422;SÃO GABRIEL-RS                                    ;4318309                       ;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;7,62
OLEO DIESEL              ;NÃO INFORMADO       ;4422;SÃO LUIZ GONZAGA-RS                               ;4318903                       ;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;7,43
OLEO DIESEL              ;NÃO INFORMADO       ;4422;TRÊS CACHOEIRAS-RS                                ;4321667                       ;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;7,19
OLEO DIESEL              ;NÃO INFORMADO       ;4422;URUGUAIANA-RS                                     ;4322400                       ;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;7,38
OLEO DIESEL              ;NÃO INFORMADO       ;4422;CAMPOS NOVOS-SC                                   ;4203600                       ;SC        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;7,24
OLEO DIESEL              ;NÃO INFORMADO       ;4422;CORUPÁ-SC                                         ;4204509                       ;SC        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;7,1
OLEO DIESEL              ;NÃO INFORMADO       ;4422;FREI ROGÉRIO-SC                                   ;4205555                       ;SC        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;6,85
OLEO DIESEL              ;NÃO INFORMADO       ;4422;CARIRA-SE                                         ;2801405                       ;SE        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;7,29
OLEO DIESEL              ;NÃO INFORMADO       ;4422;SÃO JOSÉ DO RIO PRETO-SP                          ;3549805                       ;SP        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;7,38
OLEO DIESEL              ;NÃO INFORMADO       ;4422;TAQUARITUBA-SP                                    ;3553807                       ;SP        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;7,34
OLEO DIESEL              ;NÃO INFORMADO       ;4422;LAGOA DA CONFUSÃO-TO                              ;1711902                       ;TO        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;6,25
OLEO DIESEL              ;NÃO INFORMADO       ;4422;PEDRO AFONSO-TO                                   ;1716505                       ;TO        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;7,49
OLEO DIESEL              ;NÃO INFORMADO       ;4422;SANTA RITA-PB                                     ;2513703                       ;PB        ;NORDESTE       ;2026;4;PREÇO PAGO PELO PRODUTOR                                    ;6,83
OLEO LUBRIFICANTE        ;4 TEMPOS MOBIL      ;14098;BARCELOS-AM                                       ;1300409                       ;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;45,0
OLEO LUBRIFICANTE        ;QUEIMADO            ;12358;BOCA DO ACRE-AM                                   ;1300706                       ;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;8,0
OLEO LUBRIFICANTE        ;2 TEMPOS            ;11673;BOCA DO ACRE-AM                                   ;1300706                       ;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;50,0
OLEO LUBRIFICANTE        ;20W40 HAVOLINE      ;13960;CARAUARI-AM                                       ;1301001                       ;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;38,0
OLEO LUBRIFICANTE        ;5W40                ;15322;COARI-AM                                          ;1301209                       ;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;30,0
OLEO LUBRIFICANTE        ;2 TEMPOS            ;11673;MANICORÉ-AM                                       ;1302702                       ;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;33,0
OLEO LUBRIFICANTE        ;QUEIMADO            ;12358;MANICORÉ-AM                                       ;1302702                       ;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;6,0
OLEO LUBRIFICANTE        ;2 TEMPOS            ;11673;LARANJAL DO JARI-AP                               ;1600279                       ;AP        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;56,0
OLEO LUBRIFICANTE        ;4 TEMPOS HAVOLINE   ;14086;CURRALINHO-PA                                     ;1502806                       ;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;32,0
OLEO LUBRIFICANTE        ;4 TEMPOS MOBIL      ;14098;LIMOEIRO DO AJURU-PA                              ;1504000                       ;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;32,0
OLEO LUBRIFICANTE        ;2 TEMPOS            ;11673;NOVA BRASILÂNDIA D'OESTE-RO                       ;1100148                       ;RO        ;NORTE          ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;41,5
OLEO MINERAL             ;FERSOL 800 G/L ÓLEO ;4170;CAMPO VERDE-MT                                    ;5102678                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;30,18
OLEO MINERAL             ;350 G/L OLEATO DE ME;10467;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;17,8
OLEO MINERAL             ;350 G/L OLEATO DE ME;10467;CACHOEIRA DO SUL-RS                               ;4303004                       ;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;26,0
OLEO MINERAL             ;NÃO INFORMADO       ;5717;CRUZ ALTA-RS                                      ;4306106                       ;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;21,88
OLEO MINERAL             ;350 G/L OLEATO DE ME;10467;PELOTAS-RS                                        ;4314407                       ;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;36,88
OLEO MINERAL             ;350 G/L OLEATO DE ME;10467;SANTO ANTÔNIO DA PATRULHA-RS                      ;4317608                       ;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;36,88
OLEO MINERAL             ;SYNGENTA PROTEÇÃO DE;13738;SÃO LUIZ GONZAGA-RS                               ;4318903                       ;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;28,0
OLEO MINERAL             ;350 G/L OLEATO DE ME;10467;URUGUAIANA-RS                                     ;4322400                       ;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;36,0
OLEO MINERAL             ;TRIONA 800 ML/L ÓLEO;8560;RIO REAL-BA                                       ;2927002                       ;BA        ;NORDESTE       ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;52,0
OLEO MINERAL             ;NÃO INFORMADO       ;5717;RIO BANANAL-ES                                    ;3204351                       ;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;11,96
OLEO MINERAL             ;NÃO INFORMADO       ;5717;NOVA BRASILÂNDIA D'OESTE-RO                       ;1100148                       ;RO        ;NORTE          ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;37,0
OLEO MINERAL             ;NÃO INFORMADO       ;5717;SANTA ROSA-RS                                     ;4317202                       ;RS        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;23,41
OLEO MINERAL             ;350 G/L OLEATO DE ME;10467;MASSARANDUBA-SC                                   ;4210605                       ;SC        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;43,7
OLEO MINERAL             ;FERSOL 800 G/L ÓLEO ;4170;CAMPO VERDE-MT                                    ;5102678                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;29,52
OLEO MINERAL             ;350 G/L OLEATO DE ME;10467;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;18,17
OLEO MINERAL             ;350 G/L OLEATO DE ME;10467;CACHOEIRA DO SUL-RS                               ;4303004                       ;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;26,0
OLEO MINERAL             ;NÃO INFORMADO       ;5717;CRUZ ALTA-RS                                      ;4306106                       ;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;24,0
OLEO MINERAL             ;350 G/L OLEATO DE ME;10467;PELOTAS-RS                                        ;4314407                       ;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;26,0
OLEO MINERAL             ;350 G/L OLEATO DE ME;10467;SANTO ANTÔNIO DA PATRULHA-RS                      ;4317608                       ;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;26,0
OLEO MINERAL             ;SYNGENTA PROTEÇÃO DE;13738;SÃO LUIZ GONZAGA-RS                               ;4318903                       ;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;27,4
OLEO MINERAL             ;350 G/L OLEATO DE ME;10467;URUGUAIANA-RS                                     ;4322400                       ;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;26,0
OLEO MINERAL             ;NÃO INFORMADO       ;5717;PRATA-MG                                          ;3152808                       ;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;27,0
OLEO MINERAL             ;350 G/L OLEATO DE ME;10467;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;18,58
OLEO MINERAL             ;350 G/L OLEATO DE ME;10467;CACHOEIRA DO SUL-RS                               ;4303004                       ;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;24,5
OLEO MINERAL             ;350 G/L OLEATO DE ME;10467;URUGUAIANA-RS                                     ;4322400                       ;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;28,0
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;15,0
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;22,0
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;RIO VERDE-GO                                      ;5218805                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;20,3
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;LAGUNA CARAPÃ-MS                                  ;5005251                       ;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;21,0
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;22,1
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;CAMPO VERDE-MT                                    ;5102678                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;27,6
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;PRIMAVERA DO LESTE-MT                             ;5107040                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;23,15
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;20,29
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;CAMPO MOURÃO-PR                                   ;4104303                       ;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;23,52
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;LONDRINA-PR                                       ;4113700                       ;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;27,18
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;PONTA GROSSA-PR                                   ;4119905                       ;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;21,97
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;UBIRATÃ-PR                                        ;4128005                       ;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;28,67
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;CRUZ ALTA-RS                                      ;4306106                       ;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;22,5
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;CAMPOS NOVOS-SC                                   ;4203600                       ;SC        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;27,32
OLEO VEGETAL             ;NÃO INFORMADO       ;7271;SÃO MATEUS-ES                                     ;3204906                       ;ES        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;38,0
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;GUARAPUAVA-PR                                     ;4109401                       ;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;19,1
OLEO VEGETAL             ;NÃO INFORMADO       ;7271;ITABELA-BA                                        ;2914653                       ;BA        ;NORDESTE       ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;16,0
OLEO VEGETAL             ;AGREX´OIL           ;15261;PINHEIROS-ES                                      ;3204104                       ;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;18,2
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;PATROCÍNIO-MG                                     ;3148103                       ;MG        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;22,0
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;CAPANEMA-PR                                       ;4104501                       ;PR        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;21,6
OLEO VEGETAL             ;NÃO INFORMADO       ;7271;SANTA SALETE-SP                                   ;3547650                       ;SP        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;19,0
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;15,0
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;20,0
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;RIO VERDE-GO                                      ;5218805                       ;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;21,0
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;LAGUNA CARAPÃ-MS                                  ;5005251                       ;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;21,5
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;21,7
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;CAMPO VERDE-MT                                    ;5102678                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;26,99
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;PRIMAVERA DO LESTE-MT                             ;5107040                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;22,9
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;20,09
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;CAMPO MOURÃO-PR                                   ;4104303                       ;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;23,45
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;LONDRINA-PR                                       ;4113700                       ;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;27,96
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;PONTA GROSSA-PR                                   ;4119905                       ;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;22,0
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;UBIRATÃ-PR                                        ;4128005                       ;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;29,36
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;CRUZ ALTA-RS                                      ;4306106                       ;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;22,5
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;CAMPOS NOVOS-SC                                   ;4203600                       ;SC        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;22,97
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;15,0
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;25,0
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;RIO VERDE-GO                                      ;5218805                       ;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;19,8
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;UNAÍ-MG                                           ;3170404                       ;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;25,0
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;22,76
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;20,55
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;LONDRINA-PR                                       ;4113700                       ;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;31,33
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;PONTA GROSSA-PR                                   ;4119905                       ;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;25,2
OLEO VEGETAL             ;AUREO 720 G/L ÓLEO V;8354;CAMPOS NOVOS-SC                                   ;4203600                       ;SC        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;22,15
OMA                      ;NÃO INFORMADO       ;15217;CORUPÁ-SC                                         ;4204509                       ;SC        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;8,5
OMITE                    ;300 PM 300 G/KG PROP;3965;COLATINA-ES                                       ;3201506                       ;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;98,8
OMITE                    ;720 G/L PROPARGITO U;14536;PATROCÍNIO-MG                                     ;3148103                       ;MG        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;110,0
OMITE                    ;300 PM 300 G/KG PROP;3965;MOJI MIRIM-SP                                     ;3530805                       ;SP        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;92,85
OPERA                    ;50 + 133 G/L EPOXICO;4010;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;130,0
OPERA                    ;50 + 133 G/L EPOXICO;4010;ITABELA-BA                                        ;2914653                       ;BA        ;NORDESTE       ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;90,0
OPERA                    ;50 + 133 G/L EPOXICO;4010;COLATINA-ES                                       ;3201506                       ;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;119,6
OPERA                    ;NÃO INFORMADO       ;5589;GUAXUPÉ-MG                                        ;3128709                       ;MG        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;91,3
OPERA                    ;50 + 133 G/L EPOXICO;4010;PATROCÍNIO-MG                                     ;3148103                       ;MG        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;97,0
OPERA                    ;NÃO INFORMADO       ;5589;TRÊS PONTAS-MG                                    ;3169406                       ;MG        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;96,38
OPERA                    ;50 + 133 G/L EPOXICO;4010;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;130,0
OPERA                    ;50 + 133 G/L EPOXICO;4010;UNAÍ-MG                                           ;3170404                       ;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;97,0
OPERADOR DE COLHEITADEIRA;NÃO INFORMADO       ;9085;VARGEM GRANDE-MA                                  ;2112704                       ;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
OPERADOR DE COLHEITADEIRA;NÃO INFORMADO       ;9085;GUARAPUAVA-PR                                     ;4109401                       ;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
OPERADOR DE COLHEITADEIRA;NÃO INFORMADO       ;9085;ÓBIDOS-PA                                         ;1505106                       ;PA        ;NORTE          ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;
OPERADOR DE COLHEITADEIRA;NÃO INFORMADO       ;9085;GRANDES RIOS-PR                                   ;4108700                       ;PR        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;
OPERADOR DE COLHEITADEIRA;NÃO INFORMADO       ;9085;MANACAPURU-AM                                     ;1302504                       ;AM        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
OPERADOR DE COLHEITADEIRA;NÃO INFORMADO       ;9085;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
OPERADOR DE COLHEITADEIRA;NÃO INFORMADO       ;9085;DOURADOS-MS                                       ;5003702                       ;MS        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
OPERADOR DE COLHEITADEIRA;NÃO INFORMADO       ;9085;ÓBIDOS-PA                                         ;1505106                       ;PA        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
OPERADOR DE COLHEITADEIRA;NÃO INFORMADO       ;9254;SENA MADUREIRA-AC                                 ;1200500                       ;AC        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
OPERADOR DE COLHEITADEIRA;NÃO INFORMADO       ;9254;TARAUACÁ-AC                                       ;1200609                       ;AC        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
OPERADOR DE COLHEITADEIRA;AGRICULTURA FAMILIAR;11495;XAPURI-AC                                         ;1200708                       ;AC        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
OPERADOR DE COLHEITADEIRA;NÃO INFORMADO       ;9254;BARCELOS-AM                                       ;1300409                       ;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
OPERADOR DE COLHEITADEIRA;NÃO INFORMADO       ;9254;BOCA DO ACRE-AM                                   ;1300706                       ;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
OPERADOR DE COLHEITADEIRA;NÃO INFORMADO       ;9254;CARAUARI-AM                                       ;1301001                       ;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
OPERADOR DE COLHEITADEIRA;NÃO INFORMADO       ;9254;COARI-AM                                          ;1301209                       ;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
OPERADOR DE COLHEITADEIRA;NÃO INFORMADO       ;9254;CODAJÁS-AM                                        ;1301308                       ;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
