SORGO GRANIFERO          ;EM GRÃOS            ;4745;PARACATU-MG                                       ;3147006                       ;MG        ;SUDESTE        ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,7
SORGO GRANIFERO          ;EM GRÃOS            ;4745;UBERABA-MG                                        ;3170107                       ;MG        ;SUDESTE        ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,77
SORGO GRANIFERO          ;EM GRÃOS            ;4745;UNAÍ-MG                                           ;3170404                       ;MG        ;SUDESTE        ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,71
SORGO GRANIFERO          ;EM GRÃOS            ;4745;CHAPADÃO DO SUL-MS                                ;5002951                       ;MS        ;CENTRO-OESTE   ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,64
SORGO GRANIFERO          ;EM GRÃOS            ;4745;SÃO GABRIEL DO OESTE-MS                           ;5007695                       ;MS        ;CENTRO-OESTE   ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,65
SORGO GRANIFERO          ;EM GRÃOS            ;4745;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,56
SORGO GRANIFERO          ;EM GRÃOS            ;4745;LUCAS DO RIO VERDE-MT                             ;5105259                       ;MT        ;CENTRO-OESTE   ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,56
SORGO GRANIFERO          ;EM GRÃOS            ;4745;RONDONÓPOLIS-MT                                   ;5107602                       ;MT        ;CENTRO-OESTE   ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,59
SORGO GRANIFERO          ;EM GRÃOS            ;4745;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,56
SORGO GRANIFERO          ;EM GRÃOS            ;4745;BOM JESUS-PI                                      ;2201903                       ;PI        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,81
SORGO GRANIFERO          ;EM GRÃOS            ;4745;URUÇUÍ-PI                                         ;2211209                       ;PI        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,84
SORGO GRANIFERO          ;EM GRÃOS            ;4745;BAGÉ-RS                                           ;4301602                       ;RS        ;SUL            ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,82
SORGO GRANIFERO          ;EM GRÃOS            ;4745;GUAÍRA-SP                                         ;3517406                       ;SP        ;SUDESTE        ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,79
