PIACAVA                  ;BENEFICIADA         ;11474;AM        ;NORTE          ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,95
PIACAVA                  ;NÃO BENEFICIADA     ;11475;AM        ;NORTE          ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,77
PIACAVA                  ;BENEFICIADA         ;11474;BA        ;NORDESTE       ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,13
PIACAVA                  ;NÃO BENEFICIADA     ;11475;BA        ;NORDESTE       ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,6
PIACAVA                  ;NÃO BENEFICIADA     ;11475;AM        ;NORTE          ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,73
PIACAVA                  ;BENEFICIADA         ;11474;AM        ;NORTE          ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,96
PIACAVA                  ;BENEFICIADA         ;11474;BA        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,12
PIACAVA                  ;NÃO BENEFICIADA     ;11475;BA        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,57
PIACAVA                  ;NÃO BENEFICIADA     ;11475;AM        ;NORTE          ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,55
PIACAVA                  ;BENEFICIADA         ;11474;AM        ;NORTE          ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,1
PIACAVA                  ;BENEFICIADA         ;11474;BA        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,07
PIACAVA                  ;NÃO BENEFICIADA     ;11475;BA        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,47
PIACAVA                  ;NÃO BENEFICIADA     ;11475;AM        ;NORTE          ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,35
PIACAVA                  ;BENEFICIADA         ;11474;AM        ;NORTE          ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,4
PIACAVA                  ;BENEFICIADA         ;11474;BA        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,01
PIACAVA                  ;NÃO BENEFICIADA     ;11475;BA        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,42
PIACAVA                  ;BENEFICIADA         ;11474;AM        ;NORTE          ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,0
PIACAVA                  ;NÃO BENEFICIADA     ;11475;AM        ;NORTE          ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,0
PIACAVA                  ;NÃO BENEFICIADA     ;11475;BA        ;NORDESTE       ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,5
PIACAVA                  ;BENEFICIADA         ;11474;BA        ;NORDESTE       ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,06
PIACAVA                  ;BENEFICIADA         ;11474;AM        ;NORTE          ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,0
PIACAVA                  ;NÃO BENEFICIADA     ;11475;AM        ;NORTE          ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,0
PIACAVA                  ;NÃO BENEFICIADA     ;11475;BA        ;NORDESTE       ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,53
PIACAVA                  ;BENEFICIADA         ;11474;BA        ;NORDESTE       ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,13
PIACAVA                  ;NÃO BENEFICIADA     ;11475;BA        ;NORDESTE       ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,52
PIACAVA                  ;BENEFICIADA         ;11474;BA        ;NORDESTE       ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,12
PIACAVA                  ;BENEFICIADA         ;11474;AM        ;NORTE          ;2026;4;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,5
PIACAVA                  ;NÃO BENEFICIADA     ;11475;AM        ;NORTE          ;2026;4;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,87
PIACAVA                  ;NÃO BENEFICIADA     ;11475;BA        ;NORDESTE       ;2026;4;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,56
PIACAVA                  ;BENEFICIADA         ;11474;BA        ;NORDESTE       ;2026;4;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,16
PIACAVA                  ;NÃO BENEFICIADA     ;11475;AM        ;NORTE          ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,82
PIACAVA                  ;BENEFICIADA         ;11474;AM        ;NORTE          ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,98
PIACAVA                  ;NÃO BENEFICIADA     ;11475;BA        ;NORDESTE       ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,53
PIACAVA                  ;BENEFICIADA         ;11474;BA        ;NORDESTE       ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,37
PICAPE                   ;100 1.4             ;13106;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;95000,0
PICUS                    ;NÃO INFORMADO       ;11977;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;188,75
PICUS                    ;NÃO INFORMADO       ;11977;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;204,91
PILHAS                   ;AA                  ;14941;AC        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;6,0
PILHAS                   ;AA                  ;14941;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;28,5
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;BA        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;29,25
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;ES        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,94
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;PA        ;NORTE          ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;29,61
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;BA        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;29,22
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;ES        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,08
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;PA        ;NORTE          ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;29,24
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;BA        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;26,33
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;ES        ;SUDESTE        ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;34,17
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;PA        ;NORTE          ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;28,75
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;BA        ;NORDESTE       ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;26,63
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;ES        ;SUDESTE        ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;29,63
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;PA        ;NORTE          ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;28,65
