CARNE OVINA              ;CARCAÇA             ;11450;TOBIAS BARRETO-SE                                 ;2807402                       ;SE        ;NORDESTE       ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;29,45
CARNE OVINA              ;CARCAÇA             ;11450;TOBIAS BARRETO-SE                                 ;2807402                       ;SE        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;28,35
CARNE OVINA              ;CARCAÇA             ;11450;TOBIAS BARRETO-SE                                 ;2807402                       ;SE        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;30,0
CARNE OVINA              ;CARCAÇA             ;11450;TOBIAS BARRETO-SE                                 ;2807402                       ;SE        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;30,11
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;6;ATACADO                                                     ;15,0
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;6;ATACADO                                                     ;12,59
CARNE SUINA              ;PERNIL COM OSSO RESF;11178;PORTO ALEGRE-RS                                   ;4314902                       ;RS        ;SUL            ;2025;6;VAREJO                                                      ;20,89
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;CONCÓRDIA-SC                                      ;4204301                       ;SC        ;SUL            ;2025;6;ATACADO                                                     ;12,6
CARNE SUINA              ;PERNIL COM OSSO CONG;11177;SÃO JOSÉ-SC                                       ;4216602                       ;SC        ;SUL            ;2025;6;ATACADO                                                     ;13,62
CARNE SUINA              ;PERNIL COM OSSO CONG;11177;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;6;ATACADO                                                     ;20,27
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;7;ATACADO                                                     ;16,41
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;7;ATACADO                                                     ;12,39
CARNE SUINA              ;PERNIL COM OSSO RESF;11178;PORTO ALEGRE-RS                                   ;4314902                       ;RS        ;SUL            ;2025;7;VAREJO                                                      ;21,77
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;CONCÓRDIA-SC                                      ;4204301                       ;SC        ;SUL            ;2025;7;ATACADO                                                     ;13,0
CARNE SUINA              ;PERNIL COM OSSO CONG;11177;SÃO JOSÉ-SC                                       ;4216602                       ;SC        ;SUL            ;2025;7;ATACADO                                                     ;14,3
CARNE SUINA              ;PERNIL COM OSSO CONG;11177;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;7;ATACADO                                                     ;19,79
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;8;ATACADO                                                     ;16,86
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;8;ATACADO                                                     ;12,75
CARNE SUINA              ;PERNIL COM OSSO RESF;11178;PORTO ALEGRE-RS                                   ;4314902                       ;RS        ;SUL            ;2025;8;VAREJO                                                      ;22,37
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;CONCÓRDIA-SC                                      ;4204301                       ;SC        ;SUL            ;2025;8;ATACADO                                                     ;13,19
CARNE SUINA              ;PERNIL COM OSSO CONG;11177;SÃO JOSÉ-SC                                       ;4216602                       ;SC        ;SUL            ;2025;8;ATACADO                                                     ;14,45
CARNE SUINA              ;PERNIL COM OSSO CONG;11177;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;8;ATACADO                                                     ;19,74
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;9;ATACADO                                                     ;17,66
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;9;ATACADO                                                     ;13,68
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;CONCÓRDIA-SC                                      ;4204301                       ;SC        ;SUL            ;2025;9;ATACADO                                                     ;14,0
CARNE SUINA              ;PERNIL COM OSSO CONG;11177;SÃO JOSÉ-SC                                       ;4216602                       ;SC        ;SUL            ;2025;9;ATACADO                                                     ;15,89
CARNE SUINA              ;PERNIL COM OSSO CONG;11177;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;9;ATACADO                                                     ;18,86
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;10;ATACADO                                                     ;16,79
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;10;ATACADO                                                     ;13,51
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;CONCÓRDIA-SC                                      ;4204301                       ;SC        ;SUL            ;2025;10;ATACADO                                                     ;14,5
CARNE SUINA              ;PERNIL COM OSSO CONG;11177;SÃO JOSÉ-SC                                       ;4216602                       ;SC        ;SUL            ;2025;10;ATACADO                                                     ;15,43
CARNE SUINA              ;PERNIL COM OSSO CONG;11177;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;10;ATACADO                                                     ;19,04
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;11;ATACADO                                                     ;16,0
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;11;ATACADO                                                     ;13,0
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;CONCÓRDIA-SC                                      ;4204301                       ;SC        ;SUL            ;2025;11;ATACADO                                                     ;14,5
CARNE SUINA              ;PERNIL COM OSSO CONG;11177;SÃO JOSÉ-SC                                       ;4216602                       ;SC        ;SUL            ;2025;11;ATACADO                                                     ;15,56
