BATATA-DOCE              ;NÃO INFORMADO       ;9787;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,36
BATATA-DOCE              ;AMARELA             ;11170;PEDRAS DE FOGO-PB                                 ;2511202                       ;PB        ;NORDESTE       ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,2
BATATA-DOCE              ;NÃO INFORMADO       ;9787;CORRENTES-PE                                      ;2604700                       ;PE        ;NORDESTE       ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,41
BATATA-DOCE              ;NÃO INFORMADO       ;9787;SÃO JOSÉ DOS PINHAIS-PR                           ;4125506                       ;PR        ;SUL            ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,27
BATATA-DOCE              ;NÃO INFORMADO       ;9787;BOM JARDIM-RJ                                     ;3300506                       ;RJ        ;SUDESTE        ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,34
BATATA-DOCE              ;NÃO INFORMADO       ;9787;CACHOEIRAS DE MACACU-RJ                           ;3300803                       ;RJ        ;SUDESTE        ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,39
BATATA-DOCE              ;NÃO INFORMADO       ;9787;MAGÉ-RJ                                           ;3302502                       ;RJ        ;SUDESTE        ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,57
BATATA-DOCE              ;NÃO INFORMADO       ;9787;NOVA FRIBURGO-RJ                                  ;3303401                       ;RJ        ;SUDESTE        ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,33
BATATA-DOCE              ;NÃO INFORMADO       ;9787;TRAJANO DE MORAES-RJ                              ;3305901                       ;RJ        ;SUDESTE        ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,3
BATATA-DOCE              ;NÃO INFORMADO       ;9787;SÃO JOSÉ DE MIPIBU-RN                             ;2412203                       ;RN        ;NORDESTE       ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,28
