produto;classificao_produto;id_produto;nom_municipio;cod_ibge;uf;regiao;ano;mes;dsc_nivel_comercializacao;valor_produto_kg
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;URUÇUÍ-PI                                         ;2211209                       ;PI        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,52
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;AVARÉ-SP                                          ;3504503                       ;SP        ;SUDESTE        ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,97
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;ORLÂNDIA-SP                                       ;3534302                       ;SP        ;SUDESTE        ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,48
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;DIANÓPOLIS-TO                                     ;1707009                       ;TO        ;NORTE          ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,0
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,76
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;CHAPADÃO DO CÉU-GO                                ;5205471                       ;GO        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,6
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,5
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;ITUMBIARA-GO                                      ;5211503                       ;GO        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,63
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;MINEIROS-GO                                       ;5213103                       ;GO        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,85
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;TASSO FRAGOSO-MA                                  ;2112001                       ;MA        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,62
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;PATOS DE MINAS-MG                                 ;3148004                       ;MG        ;SUDESTE        ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,8
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;CHAPADÃO DO SUL-MS                                ;5002951                       ;MS        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,61
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,2
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;CAMPO VERDE-MT                                    ;5102678                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,29
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;LUCAS DO RIO VERDE-MT                             ;5105259                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,2
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;PRIMAVERA DO LESTE-MT                             ;5107040                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,29
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;RONDONÓPOLIS-MT                                   ;5107602                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,31
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;SAPEZAL-MT                                        ;5107875                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,2
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,2
