MACA                     ;GALA                ;6962;RS        ;SUL            ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,52
MACA                     ;GALA                ;6962;SC        ;SUL            ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,25
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;AC        ;NORTE          ;2025;6;VAREJO                                                      ;9,62
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;AC        ;NORTE          ;2025;6;ATACADO                                                     ;10,78
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;AL        ;NORDESTE       ;2025;6;VAREJO                                                      ;9,2
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;AL        ;NORDESTE       ;2025;6;ATACADO                                                     ;7,96
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;AM        ;NORTE          ;2025;6;VAREJO                                                      ;11,96
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;AM        ;NORTE          ;2025;6;ATACADO                                                     ;10,07
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;AP        ;NORTE          ;2025;6;VAREJO                                                      ;9,84
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;AP        ;NORTE          ;2025;6;ATACADO                                                     ;7,48
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;BA        ;NORDESTE       ;2025;6;ATACADO                                                     ;7,87
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;BA        ;NORDESTE       ;2025;6;VAREJO                                                      ;8,34
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;CE        ;NORDESTE       ;2025;6;ATACADO                                                     ;9,95
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;CE        ;NORDESTE       ;2025;6;VAREJO                                                      ;10,32
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;DF        ;CENTRO-OESTE   ;2025;6;VAREJO                                                      ;6,19
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;DF        ;CENTRO-OESTE   ;2025;6;ATACADO                                                     ;6,24
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;ES        ;SUDESTE        ;2025;6;ATACADO                                                     ;8,88
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;ES        ;SUDESTE        ;2025;6;VAREJO                                                      ;8,82
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;ES        ;SUDESTE        ;2025;6;VAREJO                                                      ;6,19
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;ES        ;SUDESTE        ;2025;6;ATACADO                                                     ;5,99
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;GO        ;CENTRO-OESTE   ;2025;6;VAREJO                                                      ;8,41
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;GO        ;CENTRO-OESTE   ;2025;6;ATACADO                                                     ;10,84
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;GO        ;CENTRO-OESTE   ;2025;6;VAREJO                                                      ;7,56
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;MA        ;NORDESTE       ;2025;6;ATACADO                                                     ;8,59
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;MA        ;NORDESTE       ;2025;6;VAREJO                                                      ;8,2
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;MG        ;SUDESTE        ;2025;6;ATACADO                                                     ;8,28
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;MG        ;SUDESTE        ;2025;6;VAREJO                                                      ;9,92
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;MS        ;CENTRO-OESTE   ;2025;6;ATACADO                                                     ;8,0
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;MS        ;CENTRO-OESTE   ;2025;6;VAREJO                                                      ;9,92
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;MT        ;CENTRO-OESTE   ;2025;6;ATACADO                                                     ;7,54
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;MT        ;CENTRO-OESTE   ;2025;6;VAREJO                                                      ;8,06
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;PA        ;NORTE          ;2025;6;ATACADO                                                     ;8,28
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;PA        ;NORTE          ;2025;6;VAREJO                                                      ;8,18
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;PB        ;NORDESTE       ;2025;6;ATACADO                                                     ;9,1
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;PB        ;NORDESTE       ;2025;6;VAREJO                                                      ;8,32
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;PE        ;NORDESTE       ;2025;6;VAREJO                                                      ;7,28
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;PE        ;NORDESTE       ;2025;6;ATACADO                                                     ;7,12
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;PI        ;NORDESTE       ;2025;6;ATACADO                                                     ;10,21
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;PI        ;NORDESTE       ;2025;6;VAREJO                                                      ;10,93
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;PR        ;SUL            ;2025;6;VAREJO                                                      ;7,56
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;PR        ;SUL            ;2025;6;ATACADO                                                     ;6,8
