FOX XPRO                 ;SC 125 + 175 + 150 G;12504;SC        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;334,5
FOX XPRO                 ;SC 125 + 175 + 150 G;12504;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;281,07
FOX XPRO                 ;NÃO INFORMADO       ;12503;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;275,54
FOX XPRO                 ;NÃO INFORMADO       ;12503;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;290,0
FOX XPRO                 ;SC 125 + 175 + 150 G;12504;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;257,5
FOX XPRO                 ;NÃO INFORMADO       ;12503;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;343,0
FOX XPRO                 ;SC 125 + 175 + 150 G;12504;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;225,39
FOX XPRO                 ;SC 125 + 175 + 150 G;12504;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;330,88
FOX XPRO                 ;NÃO INFORMADO       ;12503;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;270,0
FOX XPRO                 ;SC 125 + 175 + 150 G;12504;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;297,5
FOX XPRO                 ;SC 125 + 175 + 150 G;12504;SC        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;282,75
FOX XPRO                 ;NÃO INFORMADO       ;12503;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;285,0
FOX XPRO                 ;SC 125 + 175 + 150 G;12504;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;262,0
FOX XPRO                 ;SC 125 + 175 + 150 G;12504;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;262,0
FOX XPRO                 ;NÃO INFORMADO       ;12503;MS        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;271,35
FOX XPRO                 ;SC 125 + 175 + 150 G;12504;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;246,77
FOX XPRO                 ;SC 125 + 175 + 150 G;12504;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;316,39
FOX XPRO                 ;NÃO INFORMADO       ;12503;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;290,0
FOX XPRO                 ;SC 125 + 175 + 150 G;12504;SC        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;285,1
FRANGO                   ;VIVO                ;4184;ES        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,63
FRANGO                   ;VIVO                ;4184;GO        ;CENTRO-OESTE   ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,55
FRANGO                   ;VIVO                ;4184;SC        ;SUL            ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,35
FRANGO                   ;VIVO                ;4184;SP        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,59
FRANGO                   ;VIVO                ;4184;ES        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,49
FRANGO                   ;VIVO                ;4184;GO        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,77
FRANGO                   ;VIVO                ;4184;SC        ;SUL            ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,34
FRANGO                   ;VIVO                ;4184;SP        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,75
FRANGO                   ;VIVO                ;4184;ES        ;SUDESTE        ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,46
FRANGO                   ;VIVO                ;4184;GO        ;CENTRO-OESTE   ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,6
FRANGO                   ;VIVO                ;4184;SC        ;SUL            ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,35
FRANGO                   ;VIVO                ;4184;SP        ;SUDESTE        ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,68
