PINHAO                   ;IN NATURA           ;11145;MUITOS CAPÕES-RS                                  ;4312617                       ;RS        ;SUL            ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,95
PINHAO                   ;IN NATURA           ;11145;SÃO FRANCISCO DE PAULA-RS                         ;4318200                       ;RS        ;SUL            ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,11
PINHAO                   ;IN NATURA           ;11145;LAGES-SC                                          ;4209300                       ;SC        ;SUL            ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,91
PINHAO                   ;IN NATURA           ;11145;PAINEL-SC                                         ;4211892                       ;SC        ;SUL            ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,43
PINHAO                   ;IN NATURA           ;11145;SÃO JOAQUIM-SC                                    ;4216503                       ;SC        ;SUL            ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,91
PINHAO                   ;IN NATURA           ;11145;URUBICI-SC                                        ;4218905                       ;SC        ;SUL            ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,5
PINHAO                   ;IN NATURA           ;11145;URUPEMA-SC                                        ;4218954                       ;SC        ;SUL            ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,0
PINHAO                   ;IN NATURA           ;11145;GUARAPUAVA-PR                                     ;4109401                       ;PR        ;SUL            ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,87
PINHAO                   ;IN NATURA           ;11145;MUITOS CAPÕES-RS                                  ;4312617                       ;RS        ;SUL            ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,25
PINHAO                   ;IN NATURA           ;11145;SÃO FRANCISCO DE PAULA-RS                         ;4318200                       ;RS        ;SUL            ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,9
PIRARUCU                 ;NÃO INFORMADO       ;6076;FONTE BOA-AM                                      ;1301605                       ;AM        ;NORTE          ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,0
PIRARUCU                 ;NÃO INFORMADO       ;6076;TEFÉ-AM                                           ;1304203                       ;AM        ;NORTE          ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,0
PIRARUCU                 ;NÃO INFORMADO       ;6076;FONTE BOA-AM                                      ;1301605                       ;AM        ;NORTE          ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,5
PIRARUCU                 ;NÃO INFORMADO       ;6076;MARAÃ-AM                                          ;1302801                       ;AM        ;NORTE          ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,0
PIRARUCU                 ;NÃO INFORMADO       ;6076;TEFÉ-AM                                           ;1304203                       ;AM        ;NORTE          ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,0
PIRARUCU                 ;NÃO INFORMADO       ;6076;BERURI-AM                                         ;1300631                       ;AM        ;NORTE          ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,5
PIRARUCU                 ;NÃO INFORMADO       ;6076;FONTE BOA-AM                                      ;1301605                       ;AM        ;NORTE          ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,0
PIRARUCU                 ;NÃO INFORMADO       ;6076;MARAÃ-AM                                          ;1302801                       ;AM        ;NORTE          ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,5
PIRARUCU                 ;NÃO INFORMADO       ;6076;TEFÉ-AM                                           ;1304203                       ;AM        ;NORTE          ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,5
PIRARUCU                 ;NÃO INFORMADO       ;6076;BERURI-AM                                         ;1300631                       ;AM        ;NORTE          ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,0
PIRARUCU                 ;NÃO INFORMADO       ;6076;FONTE BOA-AM                                      ;1301605                       ;AM        ;NORTE          ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,5
PIRARUCU                 ;NÃO INFORMADO       ;6076;MARAÃ-AM                                          ;1302801                       ;AM        ;NORTE          ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,5
PIRARUCU                 ;NÃO INFORMADO       ;6076;TEFÉ-AM                                           ;1304203                       ;AM        ;NORTE          ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,0
PIRARUCU                 ;NÃO INFORMADO       ;6076;BERURI-AM                                         ;1300631                       ;AM        ;NORTE          ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,0
PIRARUCU                 ;NÃO INFORMADO       ;6076;FONTE BOA-AM                                      ;1301605                       ;AM        ;NORTE          ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,0
PIRARUCU                 ;NÃO INFORMADO       ;6076;MARAÃ-AM                                          ;1302801                       ;AM        ;NORTE          ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,5
PIRARUCU                 ;NÃO INFORMADO       ;6076;TEFÉ-AM                                           ;1304203                       ;AM        ;NORTE          ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,0
PIRATE                   ;SC 240 G/L CLORFENAP;12505;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;70,0
PIRATE                   ;ANÁLOGO DE PIRAZOL B;10759;CHAPADÃO DO SUL-MS                                ;5002951                       ;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;52,0
PIRATE                   ;SC 240 G/L CLORFENAP;12505;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;94,63
PIRATE                   ;SC 240 G/L CLORFENAP;12505;CAMPO VERDE-MT                                    ;5102678                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;123,3
PIRATE                   ;SC 240 G/L CLORFENAP;12505;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;97,46
PIRATE                   ;NÃO INFORMADO       ;10758;TAQUARITUBA-SP                                    ;3553807                       ;SP        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;82,0
PIRATE                   ;SC 240 G/L CLORFENAP;12505;BUENO BRANDÃO-MG                                  ;3109105                       ;MG        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;151,26
PIRATE                   ;SC 240 G/L CLORFENAP;12505;CONTENDA-PR                                       ;4106209                       ;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;151,26
PIRATE                   ;SC 240 G/L CLORFENAP;12505;GRANDES RIOS-PR                                   ;4108700                       ;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;150,0
PIRATE                   ;ANÁLOGO DE PIRAZOL B;10759;PRUDENTÓPOLIS-PR                                  ;4120606                       ;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;100,0
PIRATE                   ;SC 240 G/L CLORFENAP;12505;SOMBRIO-SC                                        ;4217709                       ;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;105,45
PIRATE                   ;SC 240 G/L CLORFENAP;12505;SOMBRIO-SC                                        ;4217709                       ;SC        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;105,45
PIRATE                   ;SC 240 G/L CLORFENAP;12505;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;68,0
PIRATE                   ;ANÁLOGO DE PIRAZOL B;10759;CHAPADÃO DO SUL-MS                                ;5002951                       ;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;41,5
PIRATE                   ;SC 240 G/L CLORFENAP;12505;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;96,2
PIRATE                   ;SC 240 G/L CLORFENAP;12505;CAMPO VERDE-MT                                    ;5102678                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;121,28
PIRATE                   ;SC 240 G/L CLORFENAP;12505;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;100,68
PIRATE                   ;NÃO INFORMADO       ;10758;TAQUARITUBA-SP                                    ;3553807                       ;SP        ;SUDESTE        ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;89,0
PIRATE                   ;SC 240 G/L CLORFENAP;12505;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;66,0
PIRATE                   ;SC 240 G/L CLORFENAP;12505;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;98,96
PIRATE                   ;SC 240 G/L CLORFENAP;12505;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;97,66
PIRATE                   ;ANÁLOGO DE PIRAZOL B;10759;PRUDENTÓPOLIS-PR                                  ;4120606                       ;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;103,8
PIRATE                   ;SC 240 G/L CLORFENAP;12505;FREI ROGÉRIO-SC                                   ;4205555                       ;SC        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;97,53
PIRATE                   ;NÃO INFORMADO       ;10758;TAQUARITUBA-SP                                    ;3553807                       ;SP        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;108,26
PIREPHOS                 ;EC 800 + 40 G/L ESFE;7135;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;109,84
PIREPHOS                 ;EC 800 + 40 G/L ESFE;7135;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;108,74
PIREPHOS                 ;EC 800 + 40 G/L ESFE;7135;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;105,48
PIRETROIDE               ;NÃO INFORMADO       ;14863;SANTA ROSA-RS                                     ;4317202                       ;RS        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;108,77
PISTA DE POUSO           ;NÃO INFORMADO       ;10158;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
PISTA DE POUSO           ;NÃO INFORMADO       ;10158;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
PIVOT                    ;EC 100 G/L IMAZAPIR ;11549;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;65,0
