Categoria,Produto,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
FRUTAS,Pera Ercolini Importada,B,A,B,B,B,B,B,M,A,M,M,B
FRUTAS,Pera Forelli Importada,B,B,B,B,M,M,M,A,M,B,B,B
FRUTAS,Pera Hosui Importada,B,B,B,B,M,M,M,M,A,M,M,A
FRUTAS,Pera Nacional,B,A,A,M,A,A,A,M,B,B,B,B
FRUTAS,Pera Packhams Triumph Importada,M,B,B,B,B,B,M,A,A,A,A,A
FRUTAS,Pera Red Bartlett Importada,M,A,M,M,A,A,M,B,B,B,A,M
FRUTAS,Pera Rocha Importada,A,A,M,M,B,B,B,B,A,M,A,A
FRUTAS,Pera William Importada,B,A,A,A,A,A,M,M,B,B,B,B
FRUTAS,Pêssego Aurora                  ,B,B,B,B,B,B,B,B,B,M,A,M
FRUTAS,Pêssego Chimarrita,A,B,B,B,B,B,B,B,B,B,A,A
FRUTAS,Pêssego Dourado,B,B,B,B,B,B,B,B,B,A,A,B
FRUTAS,Pêssego Eragil,A,B,B,B,B,B,B,B,B,B,B,B
FRUTAS,Pêssego Fascinio,B,B,B,B,B,B,B,B,B,B,A,M
FRUTAS,Pêssego Importado,M,A,A,B,B,B,B,B,B,B,B,B
FRUTAS,Pêssego Importado Argentina,B,A,A,B,B,B,B,B,B,B,B,B
FRUTAS,Pêssego Importado Chile,M,A,A,B,B,B,B,B,B,B,B,B
FRUTAS,Pêssego Importado Espanha,B,B,B,B,B,B,A,A,A,B,B,B
FRUTAS,Pêssego Imp Estados Unidos,B,A,A,B,M,A,B,B,B,B,B,A
FRUTAS,Pêssego Kampai,B,B,B,B,B,B,B,B,B,A,A,B
FRUTAS,Pêssego Nacional,M,B,B,B,B,B,B,B,B,B,M,A
FRUTAS,Pêssego Rubimel,B,B,B,B,B,B,B,B,B,M,A,B
FRUTAS,Pêssego Tropic Beauty,B,B,B,B,B,B,B,B,M,A,B,B
FRUTAS,Pêssego Xiripa,M,B,B,B,B,B,B,B,B,B,B,A
FRUTAS,Physalis,B,B,B,B,B,B,B,B,B,B,B,A
FRUTAS,Pinha,A,M,B,M,M,M,B,B,B,B,B,B
FRUTAS,Pitaia,A,A,A,M,B,B,B,B,B,B,B,M
FRUTAS,Pitanga,B,M,B,B,B,B,B,B,M,A,M,B
FRUTAS,Quincam,B,M,M,M,A,A,A,A,A,B,B,B
FRUTAS,Rambutã,M,B,B,M,M,A,A,M,B,B,B,M
FRUTAS,Romã,B,M,B,B,B,B,B,B,M,A,M,B
FRUTAS,Sapoti,M,B,B,B,B,B,B,M,A,A,A,A
FRUTAS,Seriguela,M,A,A,B,B,B,B,B,B,B,B,B
FRUTAS,Tâmara Seca Importada,B,B,B,B,M,B,B,M,B,M,A,A
FRUTAS,Tamarillo,M,M,B,B,B,B,B,M,A,A,M,M
FRUTAS,Tangerina Cravo,B,M,A,A,M,M,B,B,B,B,B,B
FRUTAS,Tangerina Decopom,B,B,B,B,B,M,M,A,A,A,A,B
FRUTAS,Tangerina Importada,B,M,A,B,A,A,M,M,A,M,B,B
FRUTAS,Tangerina Murcote,B,B,B,B,B,B,M,A,A,A,A,M
FRUTAS,Tangerina Ole,B,B,B,B,M,A,A,M,A,M,B,B
FRUTAS,Tangerina Poncã,B,B,B,M,A,A,A,M,B,B,B,B
