FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;RIO DE JANEIRO-RJ                                 ;3304557                       ;RJ        ;SUDESTE        ;2025;7;VAREJO                                                      ;4,62
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;RIO DE JANEIRO-RJ                                 ;3304557                       ;RJ        ;SUDESTE        ;2025;7;ATACADO                                                     ;4,1
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;NATAL-RN                                          ;2408102                       ;RN        ;NORDESTE       ;2025;7;ATACADO                                                     ;4,29
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;NATAL-RN                                          ;2408102                       ;RN        ;NORDESTE       ;2025;7;VAREJO                                                      ;4,93
FARINHA DE TRIGO         ;COM FERMENTO        ;14896;NATAL-RN                                          ;2408102                       ;RN        ;NORDESTE       ;2025;7;VAREJO                                                      ;5,2
FARINHA DE TRIGO         ;COM FERMENTO        ;14896;PORTO VELHO-RO                                    ;1100205                       ;RO        ;NORTE          ;2025;7;VAREJO                                                      ;4,91
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;PORTO VELHO-RO                                    ;1100205                       ;RO        ;NORTE          ;2025;7;VAREJO                                                      ;3,74
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;PORTO VELHO-RO                                    ;1100205                       ;RO        ;NORTE          ;2025;7;ATACADO                                                     ;3,73
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;BOA VISTA-RR                                      ;1400100                       ;RR        ;NORTE          ;2025;7;VAREJO                                                      ;6,37
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;BOA VISTA-RR                                      ;1400100                       ;RR        ;NORTE          ;2025;7;ATACADO                                                     ;4,09
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;PORTO ALEGRE-RS                                   ;4314902                       ;RS        ;SUL            ;2025;7;VAREJO                                                      ;3,97
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;PORTO ALEGRE-RS                                   ;4314902                       ;RS        ;SUL            ;2025;7;ATACADO                                                     ;3,89
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;SÃO JOSÉ-SC                                       ;4216602                       ;SC        ;SUL            ;2025;7;ATACADO                                                     ;3,71
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;SÃO JOSÉ-SC                                       ;4216602                       ;SC        ;SUL            ;2025;7;VAREJO                                                      ;4,09
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;ARACAJU-SE                                        ;2800308                       ;SE        ;NORDESTE       ;2025;7;ATACADO                                                     ;4,25
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;ARACAJU-SE                                        ;2800308                       ;SE        ;NORDESTE       ;2025;7;VAREJO                                                      ;5,0
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;7;VAREJO                                                      ;5,03
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;7;ATACADO                                                     ;3,76
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;7;ATACADO                                                     ;4,08
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;PALMAS-TO                                         ;1721000                       ;TO        ;NORTE          ;2025;7;ATACADO                                                     ;5,38
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;PALMAS-TO                                         ;1721000                       ;TO        ;NORTE          ;2025;7;VAREJO                                                      ;5,87
FARINHA DE TRIGO         ;COM FERMENTO        ;14896;PALMAS-TO                                         ;1721000                       ;TO        ;NORTE          ;2025;7;VAREJO                                                      ;6,77
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;RIO BRANCO-AC                                     ;1200401                       ;AC        ;NORTE          ;2025;8;VAREJO                                                      ;5,55
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;RIO BRANCO-AC                                     ;1200401                       ;AC        ;NORTE          ;2025;8;ATACADO                                                     ;5,39
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;MACEIÓ-AL                                         ;2704302                       ;AL        ;NORDESTE       ;2025;8;VAREJO                                                      ;5,84
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;MACEIÓ-AL                                         ;2704302                       ;AL        ;NORDESTE       ;2025;8;ATACADO                                                     ;4,16
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;MANAUS-AM                                         ;1302603                       ;AM        ;NORTE          ;2025;8;ATACADO                                                     ;4,88
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;MANAUS-AM                                         ;1302603                       ;AM        ;NORTE          ;2025;8;VAREJO                                                      ;5,72
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;MACAPÁ-AP                                         ;1600303                       ;AP        ;NORTE          ;2025;8;VAREJO                                                      ;5,76
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;MACAPÁ-AP                                         ;1600303                       ;AP        ;NORTE          ;2025;8;ATACADO                                                     ;4,49
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;SALVADOR-BA                                       ;2927408                       ;BA        ;NORDESTE       ;2025;8;VAREJO                                                      ;4,36
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;SALVADOR-BA                                       ;2927408                       ;BA        ;NORDESTE       ;2025;8;ATACADO                                                     ;3,73
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;8;VAREJO                                                      ;4,97
FARINHA DE TRIGO         ;COM FERMENTO        ;14896;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;8;VAREJO                                                      ;5,28
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;8;ATACADO                                                     ;4,26
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;8;ATACADO                                                     ;3,78
