CARNE CAPRINA            ;CARCAÇA             ;7843;PE        ;NORDESTE       ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;28,22
CARNE CAPRINA            ;CARCAÇA             ;7843;PI        ;NORDESTE       ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;29,25
CARNE CAPRINA            ;CARCAÇA             ;7843;RN        ;NORDESTE       ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;22,47
CARNE CAPRINA            ;CARCAÇA             ;7843;AL        ;NORDESTE       ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,21
CARNE CAPRINA            ;CARCAÇA             ;7843;CE        ;NORDESTE       ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;22,47
CARNE CAPRINA            ;DIANTEIRA           ;7917;DF        ;CENTRO-OESTE   ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;32,75
CARNE CAPRINA            ;TRASEIRA            ;7918;DF        ;CENTRO-OESTE   ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;32,75
CARNE CAPRINA            ;CARCAÇA             ;7843;PB        ;NORDESTE       ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,5
CARNE CAPRINA            ;CARCAÇA             ;7843;PE        ;NORDESTE       ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;28,44
CARNE CAPRINA            ;CARCAÇA             ;7843;PI        ;NORDESTE       ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;28,88
CARNE CAPRINA            ;CARCAÇA             ;7843;RN        ;NORDESTE       ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;23,37
CARNE CAPRINA            ;CARCAÇA             ;7843;AL        ;NORDESTE       ;2026;4;PREÇO RECEBIDO P/ PRODUTOR                                  ;28,36
CARNE CAPRINA            ;CARCAÇA             ;7843;CE        ;NORDESTE       ;2026;4;PREÇO RECEBIDO P/ PRODUTOR                                  ;24,24
CARNE CAPRINA            ;TRASEIRA            ;7918;DF        ;CENTRO-OESTE   ;2026;4;PREÇO RECEBIDO P/ PRODUTOR                                  ;32,55
CARNE CAPRINA            ;DIANTEIRA           ;7917;DF        ;CENTRO-OESTE   ;2026;4;PREÇO RECEBIDO P/ PRODUTOR                                  ;32,55
CARNE CAPRINA            ;CARCAÇA             ;7843;PB        ;NORDESTE       ;2026;4;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,59
CARNE CAPRINA            ;CARCAÇA             ;7843;PE        ;NORDESTE       ;2026;4;PREÇO RECEBIDO P/ PRODUTOR                                  ;29,32
CARNE CAPRINA            ;CARCAÇA             ;7843;PI        ;NORDESTE       ;2026;4;PREÇO RECEBIDO P/ PRODUTOR                                  ;28,88
CARNE CAPRINA            ;CARCAÇA             ;7843;RN        ;NORDESTE       ;2026;4;PREÇO RECEBIDO P/ PRODUTOR                                  ;25,74
CARNE CAPRINA            ;CARCAÇA             ;7843;AL        ;NORDESTE       ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;29,5
CARNE CAPRINA            ;CARCAÇA             ;7843;CE        ;NORDESTE       ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;24,49
CARNE CAPRINA            ;TRASEIRA            ;7918;DF        ;CENTRO-OESTE   ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;35,0
CARNE CAPRINA            ;DIANTEIRA           ;7917;DF        ;CENTRO-OESTE   ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;35,0
CARNE CAPRINA            ;CARCAÇA             ;7843;PB        ;NORDESTE       ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;28,0
CARNE CAPRINA            ;CARCAÇA             ;7843;PE        ;NORDESTE       ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;29,48
CARNE CAPRINA            ;CARCAÇA             ;7843;PI        ;NORDESTE       ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;29,0
CARNE CAPRINA            ;CARCAÇA             ;7843;RN        ;NORDESTE       ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;25,28
CARNE DE FRANGO          ;CONGELADO           ;4244;BA        ;NORDESTE       ;2025;6;VAREJO                                                      ;10,57
CARNE DE FRANGO          ;CONGELADO           ;4244;GO        ;CENTRO-OESTE   ;2025;6;ATACADO                                                     ;9,97
CARNE DE FRANGO          ;CONGELADO           ;4244;MG        ;SUDESTE        ;2025;6;VAREJO                                                      ;9,89
CARNE DE FRANGO          ;CONGELADO           ;4244;MG        ;SUDESTE        ;2025;6;ATACADO                                                     ;10,24
CARNE DE FRANGO          ;CONGELADO           ;4244;MT        ;CENTRO-OESTE   ;2025;6;ATACADO                                                     ;11,11
CARNE DE FRANGO          ;CONGELADO           ;4244;PA        ;NORTE          ;2025;6;ATACADO                                                     ;10,89
CARNE DE FRANGO          ;CONGELADO           ;4244;PE        ;NORDESTE       ;2025;6;VAREJO                                                      ;12,45
