ESCRITORIO DE ALVENARIA  ;NÃO INFORMADO       ;4396;PI        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
ESCRITORIO DE ALVENARIA  ;NÃO INFORMADO       ;4396;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
ESCRITORIO DE ALVENARIA  ;NÃO INFORMADO       ;4396;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
ESCRITORIO DE ALVENARIA  ;NÃO INFORMADO       ;4396;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
ESCRITORIO DE ALVENARIA  ;NÃO INFORMADO       ;4396;PI        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
ESPALHADOR DE RESIDUO    ;NÃO INFORMADO       ;15125;BA        ;NORDESTE       ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;0,06
ESPALHANTE ADESIVO       ;OCHIMA              ;12468;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;32,0
ESPALHANTE ADESIVO       ;BAC FOS             ;12808;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;45,64
ESPALHANTE ADESIVO       ;OCHIMA              ;12468;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;53,13
ESPALHANTE ADESIVO       ;WETCIT GOLD         ;14066;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;75,63
ESPALHANTE ADESIVO       ;VIRIDIAN            ;14763;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;78,8
ESPALHANTE ADESIVO       ;ENERGIC             ;14205;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;35,78
ESPALHANTE ADESIVO       ;NÃO INFORMADO       ;6297;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;43,7
ESPALHANTE ADESIVO       ;DISPERSE ULTRA      ;15243;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;130,0
ESPALHANTE ADESIVO       ;WETCIT GOLD         ;14066;PR        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;78,0
ESPALHANTE ADESIVO       ;OCHIMA              ;12468;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;30,0
ESPALHANTE ADESIVO       ;BAC FOS             ;12808;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;45,18
ESPALHANTE ADESIVO       ;OCHIMA              ;12468;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;40,78
ESPALHANTE ADESIVO       ;VIRIDIAN            ;14763;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;63,55
ESPALHANTE ADESIVO       ;WETCIT GOLD         ;14066;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;75,63
ESPALHANTE ADESIVO       ;OCHIMA              ;12468;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;30,0
ESPALHANTE ADESIVO       ;NÃO INFORMADO       ;6297;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;103,2
ESPALHANTE ADESIVO       ;BAC FOS             ;12808;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;46,21
ESPALHANTE ADESIVO       ;RUBI                ;14843;PA        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;135,0
ESPALHANTE ADESIVO       ;VIRIDIAN            ;14763;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;78,43
ESPALHANTE ADESIVO - ASSI;NÃO INFORMADO       ;9771;SP        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;20,0
ESPALHANTE ADESIVO - ASSI;NÃO INFORMADO       ;9771;SP        ;SUDESTE        ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;19,0
ESPALHANTE ADESIVO - ASSI;NÃO INFORMADO       ;9771;SP        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;20,0
ESPORAS                  ;COLHEITA PINHÃO     ;11658;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;175,0
