GASOLINA                 ;NÃO INFORMADO       ;4421;ORIXIMINÁ-PA                                      ;1505304                       ;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;7,49
GASOLINA                 ;NÃO INFORMADO       ;4421;PONTA DE PEDRAS-PA                                ;1505700                       ;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;6,9
GASOLINA                 ;NÃO INFORMADO       ;4421;URUARÁ-PA                                         ;1508159                       ;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;7,5
GASOLINA                 ;NÃO INFORMADO       ;4421;BAÍA DA TRAIÇÃO-PB                                ;2501401                       ;PB        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;6,48
GASOLINA                 ;NÃO INFORMADO       ;4421;SÃO FRANCISCO DE PAULA-RS                         ;4318200                       ;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;6,28
GASOLINA                 ;NÃO INFORMADO       ;4421;UBATUBA-SP                                        ;3555406                       ;SP        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;6,2
GASOLINA                 ;NÃO INFORMADO       ;4421;MANHUAÇU-MG                                       ;3139409                       ;MG        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;6,35
GASOLINA                 ;NÃO INFORMADO       ;4421;MACHADINHO D'OESTE-RO                             ;1100130                       ;RO        ;NORTE          ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;6,98
GASOLINA                 ;NÃO INFORMADO       ;4421;NOVA BRASILÂNDIA D'OESTE-RO                       ;1100148                       ;RO        ;NORTE          ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;6,84
GASOLINA                 ;NÃO INFORMADO       ;4421;MANACAPURU-AM                                     ;1302504                       ;AM        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;7,49
GASOLINA                 ;NÃO INFORMADO       ;4421;MEDICILÂNDIA-PA                                   ;1504455                       ;PA        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;7,67
GAUCHO                   ;700 G/KG IMIDACLOPRI;4126;PRIMAVERA DO LESTE-MT                             ;5107040                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;114,62
GAUCHO                   ;700 G/KG IMIDACLOPRI;4126;PRIMAVERA DO LESTE-MT                             ;5107040                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;117,14
GERADOR PARA MARTELETE   ;10 KVA              ;14248;FLORES DA CUNHA-RS                                ;4308201                       ;RS        ;SUL            ;2025;8;PREÇO PAGO PELO PRODUTOR                                    ;
GERATRIZ, BANDEIRAMENTO, ;NÃO INFORMADO       ;14646;PRATA-MG                                          ;3152808                       ;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;1,8
GESAPRIM                 ;500 CIBA-GEIGY 500 G;4040;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;19,0
GESAPRIM                 ;500 CIBA-GEIGY 500 G;4040;BALSAS-MA                                         ;2101400                       ;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;41,1
GESAPRIM                 ;500 CIBA-GEIGY 500 G;4040;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;20,0
GESAPRIM                 ;500 CIBA-GEIGY 500 G;4040;BALSAS-MA                                         ;2101400                       ;MA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;35,0
GESAPRIM                 ;500 CIBA-GEIGY 500 G;4040;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;20,0
GESAPRIM                 ;500 CIBA-GEIGY 500 G;4040;BALSAS-MA                                         ;2101400                       ;MA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;44,75
GESAPRIM                 ;500 CIBA-GEIGY 500 G;4040;UNAÍ-MG                                           ;3170404                       ;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;20,0
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;0,25
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;0,19
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;BALSAS-MA                                         ;2101400                       ;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;0,19
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;CHAPADÃO DO SUL-MS                                ;5002951                       ;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;0,38
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;DOURADOS-MS                                       ;5003702                       ;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;0,39
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;CAMPO VERDE-MT                                    ;5102678                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;0,27
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;0,26
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;URUÇUÍ-PI                                         ;2211209                       ;PI        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;0,18
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;PONTA GROSSA-PR                                   ;4119905                       ;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;0,45
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;TAQUARITUBA-SP                                    ;3553807                       ;SP        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;0,27
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;PENÁPOLIS-SP                                      ;3537305                       ;SP        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;0,3
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;PINHEIROS-ES                                      ;3204104                       ;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;0,48
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;ITÁPOLIS-SP                                       ;3522703                       ;SP        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;0,2
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;0,25
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;0,19
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;BALSAS-MA                                         ;2101400                       ;MA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;0,19
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;CHAPADÃO DO SUL-MS                                ;5002951                       ;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;0,39
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;DOURADOS-MS                                       ;5003702                       ;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;0,39
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;CAMPO VERDE-MT                                    ;5102678                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;0,27
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;0,26
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;URUÇUÍ-PI                                         ;2211209                       ;PI        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;0,2
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;PONTA GROSSA-PR                                   ;4119905                       ;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;0,53
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;TAQUARITUBA-SP                                    ;3553807                       ;SP        ;SUDESTE        ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;0,26
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;0,24
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;ILHÉUS-BA                                         ;2913606                       ;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;0,76
